AMP_CODE,AMPHOE_T,AMPHOE_E,PROV_CODE,PROV_NAM_T,PROV_NAM_E,Region,px_type1,px_type2,px_total,area_rai_1,area_rai_2,area_rai_aban,area_rai_tot,pct_aban
11,ดงเจริญ,Dong Charoen,66,พิจิตร,Phichit,C,340,53,271609,191.25,29.81,221.06,152780.06,0.1447
12,วชิรบารมี,Wachira Barami,66,พิจิตร,Phichit,C,32,130,325124,18.0,73.12,91.12,182882.25,0.0498
01,เมืองเพชรบูรณ์,Mueang Phetchabun,67,เพชรบูรณ์,Phetchabun,C,2995,7184,2628679,1684.69,4041.0,5725.69,1478631.94,0.3872
02,ชนแดน,Chondaen,67,เพชรบูรณ์,Phetchabun,C,4842,11003,1300692,2723.62,6189.19,8912.81,731639.25,1.2182
03,หล่มสัก,Lhomsak,67,เพชรบูรณ์,Phetchabun,C,912,3706,1654743,513.0,2084.62,2597.62,930792.94,0.2791
04,หล่มเก่า,Lhomkao,67,เพชรบูรณ์,Phetchabun,C,572,9320,1130290,321.75,5242.5,5564.25,635788.12,0.8752
05,วิเชียรบุรี,Wachian Buri,67,เพชรบูรณ์,Phetchabun,C,1792,1224,1727014,1008.0,688.5,1696.5,971445.38,0.1746
06,ศรีเทพ,Si Thep,67,เพชรบูรณ์,Phetchabun,C,2075,1557,946868,1167.19,875.81,2043.0,532613.25,0.3836
07,หนองไผ่,Nong Phai,67,เพชรบูรณ์,Phetchabun,C,1237,3229,1468222,695.81,1816.31,2512.12,825874.88,0.3042
08,บึงสามพัน,Bung Samphan,67,เพชรบูรณ์,Phetchabun,C,2174,885,920005,1222.88,497.81,1720.69,517502.81,0.3325
09,น้ำหนาว,Nam Nao,67,เพชรบูรณ์,Phetchabun,C,853,1543,1090154,479.81,867.94,1347.75,613211.62,0.2198
10,วังโป่ง,Wang Pong,67,เพชรบูรณ์,Phetchabun,C,708,9059,579816,398.25,5095.69,5493.94,326146.5,1.6845
11,เขาค้อ,Khao Khlo,67,เพชรบูรณ์,Phetchabun,C,1324,12374,961094,744.75,6960.38,7705.12,540615.38,1.4253
01,เมืองราชบุรี,Mueang Ratchaburi,70,ราชบุรี,Ratchaburi,W,857,960,554827,482.06,540.0,1022.06,312090.19,0.3275
02,จอมบึง,Chom Bung,70,ราชบุรี,Ratchaburi,W,5642,2577,916792,3173.62,1449.56,4623.19,515695.5,0.8965
